latitude,longitude,altitude,geometry,@id,landuse,name,type,@geometry,imagery_used,created_by,highway,name:fr,wikidata,wikipedia,amenity,religion,operator,resource,substance,name:kn,material,abandoned:landuse,disused,barrier,source,note,loc_name:hi,man_made,addr:housenumber,alt_name,operator:type,natural,hazard,disused:landuse,abandoned:man_made,boundary,contamination,description,informal,old_name
12.9772271,77.6567869,,Point,relation/8768445,landfill,BEML Scrapyard,multipolygon,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.3240579,82.717264,,Point,relation/13051600,landfill,,multipolygon,center,"MaxarPremium, retreived 08/2021 (aligned to existing data)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.4157618,77.0539108,,Point,way/24636552,landfill,,,center,,Potlatch 0.9c,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0524129,80.24008,,Point,way/27187397,landfill,Transit Dumpyard,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0407194,80.2753761,,Point,way/28318932,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0958708,80.269014,,Point,way/28342689,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.134869,80.2694021,,Point,way/29199633,landfill,Kodungaiyur Corporation Landfill,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.4023359,77.1720476,,Point,way/34263673,landfill,Bandhwari Solid Waste Management Plant,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0502393,80.272474,,Point,way/47474046,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0927919,80.2491878,,Point,way/48057026,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6237856,77.3273664,,Point,way/76727509,landfill,Ghazipur Landfill,,center,,,,Décharge de Ghazipur,Q65128845,fr:Décharge de Ghazipur,,,,,,,,,,,,,,,,,,,,,,,,,,
12.9545595,80.2268859,,Point,way/84106307,landfill,Pallikaranai Dumpyard,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.1635245,77.434756,,Point,way/96235922,landfill,Municipal Dumping Ground,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.8040381,78.7248986,,Point,way/109612574,landfill,Corporation Landfill,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.7897038,87.8937203,,Point,way/114812792,landfill,Ash Pond,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.9179722,74.6144197,,Point,way/119745527,landfill,Church ground,,center,,,,,,,grave_yard,christian,,,,,,,,,,,,,,,,,,,,,,,,
12.9580768,80.2126516,,Point,way/121118533,landfill,Velachery Landfill,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.3241614,75.1095933,,Point,way/124149282,landfill,HDMC Landfill,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0811899,77.7274938,,Point,way/135169264,landfill,Mandur Landfill,,center,,,,,,,,,BBMP,,,,,,,,,,,,,,,,,,,,,,,
16.3738536,77.3417946,,Point,way/136558034,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.417177,73.1214384,,Point,way/146371889,landfill,,,center,,,,,,,,,,coal,,,,,,,,,,,,,,,,,,,,,,
22.1973597,84.849023,,Point,way/150890731,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.1673655,72.9729356,,Point,way/151861273,landfill,Mulund Dumping Ground,,center,,,,,,,,,BMC,,,,,,,,,,,,,,,,,,,,,,,
22.8176527,69.5511923,,Point,way/160966600,landfill,,,center,,,,,,,,,,,coal,,,,,,,,,,,,,,,,,,,,,
22.8158318,69.5511796,,Point,way/160966602,landfill,,,center,,,,,,,,,,,coal,,,,,,,,,,,,,,,,,,,,,
22.8171025,69.5512714,,Point,way/160966604,landfill,,,center,,,,,,,,,,,coal,,,,,,,,,,,,,,,,,,,,,
22.8183139,69.5514559,,Point,way/160966606,landfill,,,center,,,,,,,,,,,coal,,,,,,,,,,,,,,,,,,,,,
22.8163812,69.551183,,Point,way/160966607,landfill,,,center,,,,,,,,,,,coal,,,,,,,,,,,,,,,,,,,,,
22.8188658,69.5512657,,Point,way/160966608,landfill,,,center,,,,,,,,,,,coal,,,,,,,,,,,,,,,,,,,,,
22.8151434,69.5371616,,Point,way/160975822,landfill,,,center,,,,,,,,,,,coal,,,,,,,,,,,,,,,,,,,,,
22.8143615,69.537154,,Point,way/160975823,landfill,,,center,,,,,,,,,,,coal,,,,,,,,,,,,,,,,,,,,,
22.8135259,69.5371456,,Point,way/160975825,landfill,,,center,,,,,,,,,,,coal,,,,,,,,,,,,,,,,,,,,,
22.7540609,69.5597355,,Point,way/160980822,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.7558215,69.5605992,,Point,way/160980823,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.7552175,69.5603062,,Point,way/160980824,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.7547165,69.5600506,,Point,way/160980825,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.7533215,69.559353,,Point,way/160980826,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.7520251,69.5583413,,Point,way/160980827,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.7526197,69.5590301,,Point,way/160980828,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.896268,76.5512431,,Point,way/169098263,landfill,Flyash Dump,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.9428385,77.5351907,,Point,way/172895685,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.9587557,78.2654692,,Point,way/173007082,landfill,Cyanide dump,,center,,,,,,,,,,,,ಸೈನೈಡ್ ಗುಡ್ಡ,,,,,,,,,,,,,,,,,,,,
30.2229008,74.9060088,,Point,way/185779298,landfill,Flyash Dump,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.1081355,82.7086812,,Point,way/196399642,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.1066464,82.702431,,Point,way/196399643,landfill,,,center,,,,,,,,,,,,,coal,,,,,,,,,,,,,,,,,,,
24.1056241,82.7029629,,Point,way/196399644,landfill,,,center,,,,,,,,,,,,,coal,,,,,,,,,,,,,,,,,,,
24.1061904,82.7027566,,Point,way/196399645,landfill,,,center,,,,,,,,,,,,,coal,,,,,,,,,,,,,,,,,,,
24.1799751,82.7890933,,Point,way/196524090,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.1797623,82.7916538,,Point,way/196524097,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.1998308,82.7921044,,Point,way/196933551,landfill,,,center,,,,,,,,,,,,,coal,,,,,,,,,,,,,,,,,,,
24.2004972,82.7922147,,Point,way/196933553,landfill,,,center,,,,,,,,,,,,,coal,,,,,,,,,,,,,,,,,,,
24.1993919,82.7860179,,Point,way/196933554,landfill,,,center,,,,,,,,,,,,,coal,,,,,,,,,,,,,,,,,,,
24.1984173,82.7921909,,Point,way/196933555,landfill,,,center,,,,,,,,,,,,,coal,,,,,,,,,,,,,,,,,,,
24.1990539,82.7921238,,Point,way/196933556,landfill,,,center,,,,,,,,,,,,,coal,,,,,,,,,,,,,,,,,,,
24.1998974,82.7859755,,Point,way/196933557,landfill,,,center,,,,,,,,,,,,,coal,,,,,,,,,,,,,,,,,,,
24.1975002,82.7859236,,Point,way/196933559,landfill,,,center,,,,,,,,,,,,,coal,,,,,,,,,,,,,,,,,,,
24.196889,82.7860017,,Point,way/196933565,landfill,,,center,,,,,,,,,,,,,coal,,,,,,,,,,,,,,,,,,,
24.1861635,82.7609281,,Point,way/196935283,landfill,spoil heaps,,center,,,,,,,,,Northern Coalfields Limited,,,,,,,,,,,,,,,,,,,,,,,
24.2048583,82.7401921,,Point,way/197151374,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.2054313,82.7466419,,Point,way/197151375,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0723782,80.2650184,,Point,way/214711613,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.1052195,80.2752856,,Point,way/217850825,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.9429507,78.09733,,Point,way/227294952,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.773877,82.9098829,,Point,way/231145720,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.7768772,82.9078344,,Point,way/231145721,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.7735586,82.9105754,,Point,way/231145722,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.7764209,82.9083004,,Point,way/231145723,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.3790989,88.0931383,,Point,way/232029753,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0039456,79.6822835,,Point,way/233818554,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.0807744,73.0228799,,Point,way/235983873,landfill,Turbhe Landfill,,center,,,,,,,,,NMMC,,,,,quarry,,,,,,,,,,,,,,,,,,
12.9504468,78.2621826,,Point,way/239066751,landfill,Cyanide dump,,center,,,,,,,,,,,,ಸೈನೈಡ್ ಗುಡ್ಡ,,,,,,,,,,,,,,,,,,,,
12.9475062,78.2608753,,Point,way/239066780,landfill,Cyanide dump,,center,,,,,,,,,,,,ಸೈನೈಡ್ ಗುಡ್ಡ,,,,,,,,,,,,,,,,,,,,
12.9506048,78.264374,,Point,way/239193107,landfill,Cyanide dump,,center,,,,,,,,,,,,ಸೈನೈಡ್ ಗುಡ್ಡ,,,,,,,,,,,,,,,,,,,,
32.285229,75.636573,,Point,way/239435166,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.4411695,87.1333205,,Point,way/239809748,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.1156567,77.5252868,,Point,way/254607545,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.2364167,72.8266382,,Point,way/257455759,landfill,Gorai Landfill,,center,,,,,,,,,BMC,,,,,,yes,,,,,,,,,,,,,,,,,
19.124154,72.9514491,,Point,way/257455760,landfill,Kanjur Landfill,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.2501972,73.119217,,Point,way/257480493,landfill,Aadharwadi Dumping Ground,,center,,,,,,,,,KDMC,,,,,,,,,,,,,,,,,,,,,,,
9.8399178,78.639819,,Point,way/259095828,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.1680976,78.4430805,,Point,way/259103525,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.7604649,79.7810161,,Point,way/263349644,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.4851161,79.7789607,,Point,way/263391524,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.4211947,88.394756,,Point,way/283764445,landfill,,,center,,,,,,,,,,,,,,,,fence,,,,,,,,,,,,,,,,
13.0844097,77.7259195,,Point,way/285786390,landfill,Mandur Landfill,,center,,,,,,,,,BBMP,,,,,,,,,,,,,,,,,,,,,,,
13.0810565,77.7206295,,Point,way/285786393,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0788539,77.7248627,,Point,way/285786400,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.1203489,77.5382242,,Point,way/285786403,landfill,Mavallipura BBMP Landfill,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.058423,77.7343915,,Point,way/285786409,landfill,Cheemasandra BBMP Landfill,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.8955831,77.6491571,,Point,way/287327441,landfill,Karnataka Compost Development Centre - KCDC,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.0669442,72.9294437,,Point,way/289511744,landfill,Deonar Municipal Dumping Ground,,center,,,,,,,,,BMC,,,,,,,,,,,,,,,,,,,,,,,
22.7489676,88.3826025,,Point,way/313956962,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.0660659,72.9308069,,Point,way/314528563,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.1673865,75.8142782,,Point,way/320865425,landfill,,,center,,,,,,,,,,,coal,,,,,,,,,,,,,,,,,,,,,
22.9798773,72.5671562,,Point,way/321136517,landfill,Municipal Landfill,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.5369406,88.424981,,Point,way/325363390,landfill,Dhapa Landfill,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.7459477,85.2150006,,Point,way/326117863,landfill,Dumping Ground,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.5391467,88.3807357,,Point,way/331408111,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.4218006,88.3987721,,Point,way/336311410,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.272028,72.6805339,,Point,way/338817474,landfill,Fly Ash Pond,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.2746193,72.6865659,,Point,way/338817475,landfill,Fly Ash Pond,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.2761609,72.6847202,,Point,way/338817477,landfill,Fly Ash Pond,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.5201202,76.9126808,,Point,way/343156470,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.2991121,84.7926206,,Point,way/343206622,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.8482228,77.5826632,,Point,way/344936993,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5802435,79.4726402,,Point,way/345057936,landfill,Fly Ash Dump,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5744239,79.4523893,,Point,way/345057937,landfill,Fly Ash Dump,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.1061841,85.034421,,Point,way/354070769,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.112137,85.0286402,,Point,way/354070770,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.116629,85.0191091,,Point,way/354070771,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.8826813,88.1886151,,Point,way/358499183,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.9724113,79.8097505,,Point,way/358822045,landfill,Karuvadikuppam Landfill,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.9506014,79.8041266,,Point,way/358868432,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.9956603,76.0932318,,Point,way/361608328,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.997212,76.0948087,,Point,way/361608329,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1509147,76.2422241,,Point,way/362823777,landfill,Municipal Waste Management,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.6861723,79.3573783,,Point,way/362920024,landfill,Dumping Ground,,center,,,,,,,,,,,,ಕಸದ ಗುಡ್ಡೆ,,,,,,,,,,,,,,,,,,,,
23.4112897,85.2557997,,Point,way/364607640,landfill,Municipal Landfill,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.6412317,69.5847366,,Point,way/373416266,landfill,Coal Dump,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.9459397,77.6595119,,Point,way/373812697,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.5049455,79.5073326,,Point,way/374394923,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.5297975,79.4724537,,Point,way/374394924,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.5040779,79.5081492,,Point,way/374394926,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.5031774,79.4803385,,Point,way/374394927,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.5320523,79.518501,,Point,way/374394928,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.5304305,79.4752475,,Point,way/374394930,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.5023025,79.4786424,,Point,way/374394931,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6259601,79.516521,,Point,way/374395881,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6255152,79.5158801,,Point,way/374395882,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6311312,79.5194287,,Point,way/374395883,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6244721,79.5228053,,Point,way/374395884,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6751164,79.498709,,Point,way/374395885,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.629938,79.5207399,,Point,way/374395890,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6268291,79.517175,,Point,way/374395891,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6002536,79.5868707,,Point,way/374396249,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.5663848,79.5872984,,Point,way/374396251,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.5691304,79.5810584,,Point,way/374396254,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.5985379,79.5829223,,Point,way/374396261,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.57449,79.5608323,,Point,way/374396262,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6695386,79.4985841,,Point,way/374396950,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6705965,79.4985109,,Point,way/374396951,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.669586,79.5211451,,Point,way/374396952,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.7838228,79.4971513,,Point,way/374396969,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6847598,79.5711941,,Point,way/374397872,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6827828,79.5395169,,Point,way/374397874,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6783402,79.5609983,,Point,way/374397879,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6798333,79.5481023,,Point,way/374397884,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.5501274,79.475969,,Point,way/374398169,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.5346903,79.4851223,,Point,way/374399647,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.5297551,79.4993769,,Point,way/374399649,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.5396176,79.4872018,,Point,way/374399650,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.7883762,79.6508064,,Point,way/374399718,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6762347,79.5208929,,Point,way/374399728,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.654856,79.523188,,Point,way/374399746,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6161688,79.5412124,,Point,way/374399845,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6155105,79.5404286,,Point,way/374399846,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6164,79.5425408,,Point,way/374399847,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.61593,79.5432435,,Point,way/374399848,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6175005,79.5456913,,Point,way/374399849,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6180061,79.5443222,,Point,way/374399850,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6179509,79.5453079,,Point,way/374399851,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6150618,79.5413463,,Point,way/374399852,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6158623,79.5435858,,Point,way/374399853,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6080224,79.5726722,,Point,way/374399855,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6151518,79.5495456,,Point,way/374399856,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6159879,79.5413347,,Point,way/374399857,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.5777722,79.5588862,,Point,way/374401815,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.5716691,79.7188509,,Point,way/374402460,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.7919187,79.6053408,,Point,way/374403081,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.790886,79.6052234,,Point,way/374403083,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6161516,79.5390203,,Point,way/374403136,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6152936,79.5391476,,Point,way/374403137,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6116619,79.545134,,Point,way/374403138,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6112609,79.5460284,,Point,way/374403142,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6162846,79.5407145,,Point,way/374403144,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6709297,79.4929309,,Point,way/374404134,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6260609,79.4865758,,Point,way/374404138,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6714786,79.4925717,,Point,way/374404139,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6369453,79.5057071,,Point,way/374404140,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6322138,79.5245666,,Point,way/374404141,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6695,79.4969852,,Point,way/374404147,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.910609,74.8910149,,Point,way/378246875,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.934728,80.1009535,,Point,way/383857988,landfill,Kannadapalayam Dumpyard,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.3108456,79.2901631,,Point,way/390036974,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.3902776,79.3373292,,Point,way/391554078,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.1136766,76.5567864,,Point,way/394927514,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.1085256,76.5559464,,Point,way/394927515,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.1772282,73.045899,,Point,way/395236229,landfill,Diva Dumping Ground,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.1769925,73.0440316,,Point,way/395236230,landfill,Diva Dumping Ground,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.8911002,72.9357113,,Point,way/395250720,landfill,Uran Dumping Ground,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.8352555,94.906471,,Point,way/402849317,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.8502488,94.9105722,,Point,way/402849321,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.841217,94.9089226,,Point,way/402849322,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5674166,77.3406796,,Point,way/402877175,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
